"commit_id","equipo","modulo","prioridad","lead_time_horas","lineas_cambiadas","num_bugs","deploy_status"
"PR-10001","Beta","Billing","Media",2.47,10,0,"success"
"PR-10002","Gamma","Auth-Service","Media",5,10,0,"failed"
"PR-10003","Beta","Auth-Service","Alta",50,561,5,"success"
"PR-10004","Alpha","Auth-Service","Media",53.93,891,9,"failed"
"PR-10005","Beta","Billing","Media",287.61,3363,14,"success"
"PR-10006","Gamma","Auth-Service","Baja",2.41,138,1,"success"
"PR-10007","Gamma","Core-API","Baja",6,352,1,"failed"
"PR-10008","Delta","Billing","Media",36,198,0,"success"
"PR-10009","Gamma","Billing","Crítica",10,186,1,"success"
"PR-10010","Beta","Database","Media",1.02,97,1,"success"
"PR-10011","Alpha","Billing","Media",84.32,1144,5,"success"
"PR-10012","Beta","Billing","Media",2.99,125,0,"success"
"PR-10013","Gamma","Auth-Service","Media",2.7,10,0,"success"
"PR-10014","Beta","Core-API","Media",25,345,1,"failed"
"PR-10015","Beta","Frontend-UI","Alta",71.76,1072,1,"rolled_back"
"PR-10016","Beta","Core-API","Media",3,10,0,"success"
"PR-10017","Delta","Auth-Service","Media",58.03,788,1,"success"
"PR-10018","Beta","Core-API","Media",1,210,1,"success"
"PR-10019","Delta","Auth-Service","Media",5,351,1,"success"
"PR-10020","Gamma","Auth-Service","Baja",4.31,54,0,"success"
"PR-10021","Delta","Database","Media",3,25,0,"success"
"PR-10022","Gamma","Core-API","Baja",7.74,10,0,"success"
"PR-10023","Alpha","Core-API","Media",60.69,858,2,"success"
"PR-10024","Gamma","Database","Media",41,556,3,"success"
"PR-10025","Delta","Database","Media",208.27,2670,14,"failed"
"PR-10026","Alpha","Frontend-UI","Alta",5,264,1,"rolled_back"
"PR-10027","Gamma","Billing","Baja",53,305,3,"success"
"PR-10028","Gamma","Billing","Media",76,852,3,"failed"
"PR-10029","Beta","Auth-Service","Alta",27,338,0,"success"
"PR-10030","Beta","Auth-Service","Crítica",24,310,2,"success"
"PR-10031","Alpha","Frontend-UI","Media",1,10,0,"success"
"PR-10032","Beta","Auth-Service","Media",3.62,288,1,"success"
"PR-10033","Delta","Auth-Service","Media",60.88,736,1,"success"
"PR-10034","Beta","Core-API","Media",5.95,340,2,"success"
"PR-10035","Gamma","Database","Baja",0,261,1,"success"
"PR-10036","Alpha","Frontend-UI","Alta",57,657,0,"success"
"PR-10037","Delta","Database","Crítica",32.66,301,1,"success"
"PR-10038","Delta","Auth-Service","Crítica",4,161,2,"success"
"PR-10039","Beta","Database","Baja",64,794,5,"failed"
"PR-10040","Gamma","Frontend-UI","Baja",60,785,1,"failed"
"PR-10041","Gamma","Frontend-UI","Crítica",164,1908,7,"success"
"PR-10042","Alpha","Auth-Service","Media",6.57,216,1,"success"
"PR-10043","Gamma","Core-API","Media",6,272,0,"success"
"PR-10044","Alpha","Auth-Service","Media",3.77,324,1,"failed"
"PR-10045","Gamma","Core-API","Media",49,773,6,"failed"
"PR-10046","Delta","Database","Media",69,921,3,"success"
"PR-10047","Beta","Frontend-UI","Crítica",88,1162,4,"failed"
"PR-10048","Alpha","Billing","Alta",2,82,1,"success"
"PR-10049","Beta","Core-API","Media",3,161,1,"success"
"PR-10050","Beta","Billing","Media",53.11,588,1,"failed"
"PR-10051","Alpha","Frontend-UI","Baja",43,601,3,"success"
"PR-10052","Delta","Core-API","Alta",58,593,3,"success"
"PR-10053","Beta","Billing","Media",1.41,108,0,"success"
"PR-10054","Delta","Core-API","Alta",9,144,0,"success"
"PR-10055","Gamma","Auth-Service","Media",71.88,962,6,"success"
"PR-10056","Alpha","Database","Media",1.78,10,0,"success"
"PR-10057","Alpha","Auth-Service","Media",53.25,907,2,"failed"
"PR-10058","Gamma","Auth-Service","Alta",5,10,0,"success"
"PR-10059","Gamma","Billing","Baja",5,317,1,"success"
"PR-10060","Alpha","Auth-Service","Media",4.65,239,0,"success"
"PR-10061","Alpha","Auth-Service","Media",14.64,318,2,"success"
"PR-10062","Beta","Frontend-UI","Media",74,929,4,"rolled_back"
"PR-10063","Alpha","Database","Baja",4.09,89,0,"success"
"PR-10064","Gamma","Frontend-UI","Baja",2,61,1,"success"
"PR-10065","Alpha","Billing","Media",159,2032,7,"success"
"PR-10066","Beta","Frontend-UI","Crítica",37,609,3,"success"
"PR-10067","Delta","Frontend-UI","Alta",33.12,360,0,"success"
"PR-10068","Delta","Database","Crítica",23.15,481,1,"failed"
"PR-10069","Gamma","Frontend-UI","Baja",2.88,57,0,"failed"
"PR-10070","Gamma","Auth-Service","Media",2,205,0,"failed"
"PR-10071","Gamma","Database","Alta",4.48,30,1,"success"
"PR-10072","Gamma","Frontend-UI","Baja",4,10,0,"success"
"PR-10073","Delta","Auth-Service","Media",48,675,5,"failed"
"PR-10074","Beta","Auth-Service","Alta",171.78,1922,10,"failed"
"PR-10075","Gamma","Core-API","Media",3.46,159,0,"success"
"PR-10076","Delta","Database","Crítica",5,60,0,"success"
"PR-10077","Alpha","Frontend-UI","Crítica",0.87,39,0,"success"
"PR-10078","Gamma","Database","Media",1,10,0,"success"
"PR-10079","Beta","Frontend-UI","Media",7,84,0,"success"
"PR-10080","Alpha","Database","Media",53,706,1,"success"
"PR-10081","Delta","Frontend-UI","Media",3,133,0,"success"
"PR-10082","Delta","Core-API","Media",5,65,0,"success"
"PR-10083","Beta","Auth-Service","Baja",54.11,691,3,"success"
"PR-10084","Delta","Auth-Service","Media",4,95,1,"success"
"PR-10085","Gamma","Billing","Alta",0.37,19,0,"success"
"PR-10086","Beta","Billing","Media",5,100,1,"success"
"PR-10087","Delta","Auth-Service","Alta",9,351,3,"success"
"PR-10088","Gamma","Database","Media",5.65,239,2,"failed"
"PR-10089","Delta","Billing","Baja",8,205,2,"success"
"PR-10090","Alpha","Auth-Service","Media",3,10,0,"success"
"PR-10091","Gamma","Frontend-UI","Media",78,889,4,"success"
"PR-10092","Delta","Billing","Media",24,440,4,"success"
"PR-10093","Delta","Billing","Media",58,449,1,"failed"
"PR-10094","Beta","Frontend-UI","Media",24,156,0,"rolled_back"
"PR-10095","Gamma","Frontend-UI","Alta",29.44,599,0,"success"
"PR-10096","Alpha","Database","Alta",0.65,92,0,"success"
"PR-10097","Beta","Core-API","Media",7,132,1,"success"
"PR-10098","Gamma","Database","Baja",3.12,61,0,"success"
"PR-10099","Beta","Auth-Service","Crítica",1,193,1,"success"
"PR-10100","Beta","Auth-Service","Alta",4.46,168,0,"success"
"PR-10101","Beta","Database","Media",3.2,105,0,"success"
"PR-10102","Alpha","Frontend-UI","Media",62,781,1,"success"
"PR-10103","Gamma","Database","Baja",1.16,213,1,"success"
"PR-10104","Gamma","Database","Alta",41,448,3,"success"
"PR-10105","Delta","Auth-Service","Media",2.44,10,0,"success"
"PR-10106","Beta","Billing","Media",61,616,1,"success"
"PR-10107","Delta","Frontend-UI","Alta",1,10,0,"success"
"PR-10108","Beta","Frontend-UI","Alta",5.72,10,0,"failed"
"PR-10109","Alpha","Core-API","Media",26,288,2,"success"
"PR-10110","Beta","Database","Media",48,764,0,"success"
"PR-10111","Alpha","Auth-Service","Media",3.55,233,1,"success"
"PR-10112","Alpha","Core-API","Crítica",1,10,0,"success"
"PR-10113","Beta","Auth-Service","Media",6,101,2,"failed"
"PR-10114","Delta","Auth-Service","Media",1.37,80,2,"success"
"PR-10115","Beta","Auth-Service","Media",2.77,10,0,"success"
"PR-10116","Delta","Frontend-UI","Baja",3.95,113,0,"failed"
"PR-10117","Beta","Core-API","Baja",2.52,194,4,"success"
"PR-10118","Delta","Frontend-UI","Baja",2,10,0,"success"
"PR-10119","Alpha","Auth-Service","Media",24,465,1,"success"
"PR-10120","Delta","Frontend-UI","Media",62.36,675,3,"success"
"PR-10121","Beta","Database","Alta",68.03,1003,3,"success"
"PR-10122","Alpha","Billing","Media",1,10,0,"success"
"PR-10123","Beta","Billing","Baja",31,353,6,"rolled_back"
"PR-10124","Alpha","Billing","Baja",24.04,278,1,"success"
"PR-10125","Beta","Auth-Service","Alta",2.56,138,2,"success"
"PR-10126","Gamma","Frontend-UI","Media",2.12,151,2,"success"
"PR-10127","Gamma","Billing","Media",232.35,2943,17,"success"
"PR-10128","Delta","Database","Media",2,10,0,"rolled_back"
